zipcode
60631,
60646,
60659,
60645,
60626,
60660,
60656,
60630,
60625,
60640,
60634,
60641,
60618,
60613,
60657,
60707,
60739,
60647,
60614,
60651,
60622,
60610,
60654,
60611,
60601,
60602,
60603,
60604,
60605,
60606,
60607,
60661,
60644,
60624,
60612,
60623,
60608,
60616,
60632,
60609,
60653,
60615,
60638,
60629,
60636,
60621,
60637,
60649,
60652,
60620,
60619,
60617,
60655,
60643,
60628,
60633,
60827
